Image Name,Faces Detected,Latency (ms)
1 (2916).jpg,1,456.78
1 (607).jpg,1,270.23
1 (3767).jpg,0,266.18
1 (576).jpg,1,281.11
1 (1856).jpg,1,281.06
1 (1464).jpg,1,281.21
1 (1290).jpg,1,281.81
1 (1341).jpg,1,257.68
1 (2598).jpg,0,320.14
1 (789).jpg,1,263.49
1 (882).jpg,1,270.41
1 (5469).jpg,1,314.14
1 (6466).jpg,1,289.46
1 (6835).jpg,1,279.92
1 (6027).jpg,1,257.58
1 (4288).jpg,1,269.93
1 (550).jpg,1,277.92
1 (509).jpg,1,255.69
1 (2135).jpg,1,264.72
1 (3690).jpg,0,281.58
1 (3664).jpg,1,286.47
1 (6160).jpg,1,274.12
1 (884).jpg,1,277.01
1 (5810).jpg,1,294.72
1 (4641).jpg,1,286.65
1 (146).png,1,275.61
1 (2882).jpg,1,276.36
1 (6577).jpg,1,344.7
1 (1966).jpg,1,258.61
1 (2458).jpg,1,262.72
1 (2908).jpg,1,260.59
1 (5700).jpg,1,286.28
1 (5901).jpg,1,275.6
1 (3580).jpg,1,253.44
1 (1179).jpg,1,277.46
1 (5923).jpg,1,290.66
1 (1064).jpg,1,266.19
1 (392).jpg,0,286.38
1 (3040).jpg,1,280.55
1 (863).jpg,1,299.24
1 (521).jpg,1,280.08
1 (1478).jpg,1,267.46
1 (1008).jpg,1,260.86
1 (5577).jpg,1,232.23
1 (3010).jpg,1,263.63
1 (5578).jpg,1,294.48
1 (1643).jpg,1,268.5
1 (2040).jpg,1,263.15
1 (657).jpg,1,278.58
1 (6353).jpg,1,266.17
1 (4599).jpg,1,252.15
1 (3517).jpg,1,255.57
1 (5028).jpg,1,257.82
1 (3495).jpg,1,239.01
1 (2922).jpg,1,276.5
1 (6882).jpg,1,279.49
1 (2109).jpg,1,273.93
1 (2715).jpg,1,256.8
1 (3549).jpg,1,268.38
1 (5775).jpg,1,247.56
1 (1438).jpg,1,262.21
1 (2152).jpg,1,272.4
1 (4277).jpg,1,267.14
1 (6568).jpg,1,311.61
1 (6248).jpg,1,271.76
1 (9).png,1,300.69
1 (1687).jpg,1,264.11
1 (2953).jpg,1,262.97
1 (2182).jpg,1,306.39
1 (975).jpg,1,261.71
1 (2557).jpg,1,284.22
1 (6503).jpg,1,278.2
1 (2741).jpg,1,266.14
1 (3882).jpg,1,258.89
1 (2869).jpg,1,275.89
1 (603).jpg,1,257.73
1 (2260).jpg,1,321.36
1 (2167).jpg,1,278.43
1 (2214).jpg,1,266.97
1 (2884).jpg,1,262.0
1 (1595).jpg,1,270.24
1 (4710).jpg,1,264.42
1 (6400).jpg,1,289.25
1 (1514).jpg,1,258.52
1 (5418).jpg,1,232.73
1 (6872).jpg,1,264.26
1 (4010).jpg,0,265.21
1 (5161).jpg,1,261.7
1 (1168).jpg,0,266.97
1 (4585).jpg,1,266.59
1 (1806).jpg,1,272.7
1 (4752).jpg,1,262.55
1 (4495).jpg,1,258.76
1 (2614).jpg,1,262.64
1 (4984).jpg,1,429.37
1 (3175).jpg,1,269.11
1 (6556).jpg,1,272.9
1 (6673).jpg,1,276.17
1 (445).jpg,1,265.63
1 (6490).jpg,1,265.1
1 (209).jpg,1,267.04
1 (1976).jpg,1,274.15
1 (4895).jpg,1,274.79
1 (1434).jpg,1,262.95
1 (6748).jpg,1,292.36
1 (2203).jpg,1,258.24
1 (3214).jpg,1,269.9
1 (5792).jpg,1,261.33
1 (5716).jpg,1,265.47
1 (4961).jpg,1,253.43
1 (5147).jpg,1,257.12
1 (1243).jpg,1,256.14
1 (1555).jpg,1,263.96
1 (4313).jpg,2,277.64
1 (21).png,1,268.8
1 (6384).jpg,1,332.1
1 (258).jpg,1,283.14
1 (663).jpg,1,271.76
1 (3977).jpg,1,255.76
1 (1173).jpg,1,288.79
