Person1,Image1,Person2,Image2,Cosine Similarity,Euclidean Distance,Predicted,Actual
Angelina Jolie,001_fe3347c0.jpg,Angelina Jolie,003_57612506.jpg,0.5875371,0.9082543,False,Same
Angelina Jolie,001_fe3347c0.jpg,Angelina Jolie,004_f61e7d0c.jpg,0.72278744,0.7445975,True,Same
Angelina Jolie,001_fe3347c0.jpg,Angelina Jolie,005_582c121a.jpg,0.7149777,0.7550131,True,Same
Angelina Jolie,001_fe3347c0.jpg,Angelina Jolie,006_9135205d.jpg,0.6860347,0.7924208,False,Same
Angelina Jolie,001_fe3347c0.jpg,Angelina Jolie,007_cabbfcbb.jpg,0.6110263,0.88201326,False,Same
Angelina Jolie,001_fe3347c0.jpg,Angelina Jolie,008_d1f87068.jpg,0.6914626,0.7855412,False,Same
Angelina Jolie,001_fe3347c0.jpg,Angelina Jolie,009_fb3e6174.jpg,0.63850486,0.8502885,False,Same
Angelina Jolie,001_fe3347c0.jpg,Angelina Jolie,010_f99d79e3.jpg,0.6472652,0.83992237,False,Same
Angelina Jolie,001_fe3347c0.jpg,Angelina Jolie,011_7344ca35.jpg,0.6424342,0.8456546,False,Same
Angelina Jolie,001_fe3347c0.jpg,Angelina Jolie,012_cfcd4007.jpg,0.9325715,0.36722893,True,Same
Angelina Jolie,003_57612506.jpg,Angelina Jolie,004_f61e7d0c.jpg,0.578449,0.91820586,False,Same
Angelina Jolie,003_57612506.jpg,Angelina Jolie,005_582c121a.jpg,0.52483535,0.97484845,False,Same
Angelina Jolie,003_57612506.jpg,Angelina Jolie,006_9135205d.jpg,0.65205276,0.83420295,False,Same
Angelina Jolie,003_57612506.jpg,Angelina Jolie,007_cabbfcbb.jpg,0.5792682,0.9173133,False,Same
Angelina Jolie,003_57612506.jpg,Angelina Jolie,008_d1f87068.jpg,0.6413575,0.8469268,False,Same
Angelina Jolie,003_57612506.jpg,Angelina Jolie,009_fb3e6174.jpg,0.62736076,0.8632952,False,Same
Angelina Jolie,003_57612506.jpg,Angelina Jolie,010_f99d79e3.jpg,0.73849356,0.7231962,True,Same
Angelina Jolie,003_57612506.jpg,Angelina Jolie,011_7344ca35.jpg,0.5611483,0.93685824,False,Same
Angelina Jolie,003_57612506.jpg,Angelina Jolie,012_cfcd4007.jpg,0.5971792,0.89757544,False,Same
Angelina Jolie,004_f61e7d0c.jpg,Angelina Jolie,005_582c121a.jpg,0.6784426,0.80194455,False,Same
Angelina Jolie,004_f61e7d0c.jpg,Angelina Jolie,006_9135205d.jpg,0.6208486,0.8708059,False,Same
Angelina Jolie,004_f61e7d0c.jpg,Angelina Jolie,007_cabbfcbb.jpg,0.56621677,0.9314326,False,Same
Angelina Jolie,004_f61e7d0c.jpg,Angelina Jolie,008_d1f87068.jpg,0.66730577,0.8157136,False,Same
Angelina Jolie,004_f61e7d0c.jpg,Angelina Jolie,009_fb3e6174.jpg,0.58049303,0.9159771,False,Same
Angelina Jolie,004_f61e7d0c.jpg,Angelina Jolie,010_f99d79e3.jpg,0.6519072,0.83437735,False,Same
Angelina Jolie,004_f61e7d0c.jpg,Angelina Jolie,011_7344ca35.jpg,0.64476967,0.84288824,False,Same
Angelina Jolie,004_f61e7d0c.jpg,Angelina Jolie,012_cfcd4007.jpg,0.72792786,0.73766136,True,Same
Angelina Jolie,005_582c121a.jpg,Angelina Jolie,006_9135205d.jpg,0.7078804,0.7643554,True,Same
Angelina Jolie,005_582c121a.jpg,Angelina Jolie,007_cabbfcbb.jpg,0.70010453,0.77446175,True,Same
Angelina Jolie,005_582c121a.jpg,Angelina Jolie,008_d1f87068.jpg,0.7282837,0.73717886,True,Same
Angelina Jolie,005_582c121a.jpg,Angelina Jolie,009_fb3e6174.jpg,0.5791454,0.9174472,False,Same
Angelina Jolie,005_582c121a.jpg,Angelina Jolie,010_f99d79e3.jpg,0.6203702,0.871355,False,Same
Angelina Jolie,005_582c121a.jpg,Angelina Jolie,011_7344ca35.jpg,0.7462447,0.71239775,True,Same
Angelina Jolie,005_582c121a.jpg,Angelina Jolie,012_cfcd4007.jpg,0.7162407,0.7533383,True,Same
Angelina Jolie,006_9135205d.jpg,Angelina Jolie,007_cabbfcbb.jpg,0.7005972,0.77382535,True,Same
Angelina Jolie,006_9135205d.jpg,Angelina Jolie,008_d1f87068.jpg,0.84029025,0.5651723,True,Same
Angelina Jolie,006_9135205d.jpg,Angelina Jolie,009_fb3e6174.jpg,0.5635807,0.9342584,False,Same
Angelina Jolie,006_9135205d.jpg,Angelina Jolie,010_f99d79e3.jpg,0.66577196,0.8175916,False,Same
Angelina Jolie,006_9135205d.jpg,Angelina Jolie,011_7344ca35.jpg,0.65958196,0.8251279,False,Same
Angelina Jolie,006_9135205d.jpg,Angelina Jolie,012_cfcd4007.jpg,0.72336483,0.7438214,True,Same
Angelina Jolie,007_cabbfcbb.jpg,Angelina Jolie,008_d1f87068.jpg,0.65591806,0.8295565,False,Same
Angelina Jolie,007_cabbfcbb.jpg,Angelina Jolie,009_fb3e6174.jpg,0.55280304,0.94572407,False,Same
Angelina Jolie,007_cabbfcbb.jpg,Angelina Jolie,010_f99d79e3.jpg,0.58211434,0.9142053,False,Same
Angelina Jolie,007_cabbfcbb.jpg,Angelina Jolie,011_7344ca35.jpg,0.7163648,0.75317353,True,Same
Angelina Jolie,007_cabbfcbb.jpg,Angelina Jolie,012_cfcd4007.jpg,0.61262745,0.88019603,False,Same
Angelina Jolie,008_d1f87068.jpg,Angelina Jolie,009_fb3e6174.jpg,0.5939558,0.9011595,False,Same
Angelina Jolie,008_d1f87068.jpg,Angelina Jolie,010_f99d79e3.jpg,0.6986723,0.77630883,False,Same
Angelina Jolie,008_d1f87068.jpg,Angelina Jolie,011_7344ca35.jpg,0.65610766,0.8293278,False,Same
Angelina Jolie,008_d1f87068.jpg,Angelina Jolie,012_cfcd4007.jpg,0.7050106,0.7681008,True,Same
Angelina Jolie,009_fb3e6174.jpg,Angelina Jolie,010_f99d79e3.jpg,0.756798,0.6974266,True,Same
